pattern,rating,events,pattern_str
"0.3549831,0.0,0.0,0.0,2.2942746,1.599307,-0.5988878,1.599307,0.0,-0.57550627,-0.29906738,0.90915966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",1.1,"[98, 52]",a.x > b.x or a.y > b.y or a.z > b.z and b.x <  39682 and b.y =  42839 and b.z =  -3448
"-0.5774895,0.0,0.0,0.0,-0.17986557,0.018406454,0.683219,-0.9494711,0.0,-0.44135866,-0.44135866,-0.18956608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",1.2,"[64, 23]",a.x >  -8073 and a.y < b.y or a.z < b.z and 
"-1.176865,0.0,0.0,0.0,-0.04194027,0.68155366,-0.40819713,-0.43989196,0.0,0.016741263,-0.95113647,-0.34215692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",1,"[73, 106]",a.x < b.x or a.y > b.y or a.z not = b.z and b.x >  -10699 and 
"-1.2349942,0.0,0.0,0.0,-0.47848412,0.6767659,0.9388703,0.6767659,0.0,-0.41012806,-0.24049953,-0.34086296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",1,"[53, 44]",a.x < b.x or a.y <  47207 and a.z < b.z and b.y <  10215 and 
"-0.47684994,0.0,0.0,0.0,1.0135616,-1.0813246,-0.95188004,-0.40967035,0.0,-0.9575159,0.95567787,-1.1087493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",1.5,"[44, 71]",a.y < b.y or a.z > b.z and b.x >  16322 and 
"-0.5787463,0.0,0.0,0.0,1.1769179,-0.30175844,0.20076558,-1.0812461,0.0,0.013099765,0.5596031,-0.30175844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",1.5,"[64, 68]",a.x = b.x or a.y >  -27030 and  and b.x >  22376 and b.y =  4825 and 
"0.5535224,0.0,0.0,0.0,0.57570183,-0.34178373,-0.95243895,-1.1088369,0.0,0.95594215,-0.34178373,-0.30147657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",1.3,"[62, 14]",a.x not < b.x or a.y < b.y or a.z not > b.z and 
"-0.78287894,0.0,0.0,0.0,0.56985044,0.012862583,-0.3457649,-0.2990578,0.0,-1.1091512,-0.9539362,-1.0853275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",1,"[52, 14]",a.x >  12791 and a.y not < b.y or a.z = b.z and 
"-0.78287894,0.0,0.0,0.0,0.56985044,0.012862583,-0.3457649,-0.2990578,0.54889137,-1.1091512,-0.9539362,-1.0853275,0.0,-1.0853275,0.19730218,-0.2990578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",3,"[52, 14, 62]",a.x >  12791 and a.y not < b.y or a.z = b.z and b.x not > c.x or b.y < c.y or  and c.y >  -34360 and 
"-1.2323788,0.0,0.0,0.0,0.5691014,-0.44047335,-0.29827046,0.6711834,0.0,-0.18362571,-0.34701028,-0.29827046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",1.3,"[53, 14]",a.x not = b.x or a.y = b.y or a.z < b.z and 
