,pattern,rating,events,actions,conds,pattern_str
0,"0.37194225,0.0,0.0,0.0,0.0,0.0,0.25524566,1.3027965,1.9016601,-0.57485276,-0.42135644,0.6084775,0.0,0.16328637,-0.42530423,-1.4916052,0.51850706,-1.1447839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",3.895413721634693,"[52, 69]","['v-> ', 'vnot +> ', 'not <', 'v+> ', 'nop', 'nop', '<', 'nop', '=', 'nop']","['and', 'or', 'and', 'or', 'and', 'and', 'and', 'and', 'and', 'or']",
1,"0.37194225,0.0,0.0,0.0,0.0,0.0,0.25524566,1.3027965,1.9016601,-0.57485276,-0.42135644,0.6084775,-0.88805664,0.16328637,-0.42530423,-1.4916052,0.51850706,-1.1447839,0.0,0.20858277,0.20858277,0.72894824,-0.9497568,1.3027965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",4.596907052133709,"[52, 69, 98]","['v-> ', 'vnot +> ', 'not <', 'v+> ', 'nop', 'nop', '<', 'nop', '=', 'nop', '<', '<', 'nop', 'vnot *= ', 'v-> ']","['and', 'or', 'and', 'or', 'and', 'and', 'and', 'and', 'and', 'or', 'and', 'and', 'and', 'or', 'and']",b.y < a.y
2,"0.37194225,0.0,0.0,0.0,0.0,0.0,0.25524566,1.3027965,1.9016601,-0.57485276,-0.42135644,0.6084775,-0.88805664,0.16328637,-0.42530423,-1.4916052,0.51850706,-1.1447839,0.39898214,0.20858277,0.20858277,0.72894824,-0.9497568,1.3027965,0.0,0.67821145,0.23147236,0.20271733,1.5696951,0.26178116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",5.3728011904129245,"[52, 69, 98, 19]","['v-> ', 'vnot +> ', 'not <', 'v+> ', 'nop', 'nop', '<', 'nop', '=', 'nop', '<', '<', 'nop', 'vnot *= ', 'v-> ', '>', 'v-> ', 'v+> ', 'v-> ', '<']","['and', 'or', 'and', 'or', 'and', 'and', 'and', 'and', 'and', 'or', 'and', 'and', 'and', 'or', 'and', 'and', 'and', 'and', 'or', 'or']",b.y < a.y
3,"0.37194225,0.0,0.0,0.0,0.0,0.0,0.25524566,1.3027965,1.9016601,-0.57485276,-0.42135644,0.6084775,-0.88805664,0.16328637,-0.42530423,-1.4916052,0.51850706,-1.1447839,0.39898214,0.20858277,0.20858277,0.72894824,-0.9497568,1.3027965,1.3646951,0.67821145,0.23147236,0.20271733,1.5696951,0.26178116,-0.41344798,1.1058197,-0.44251573,-0.425751,1.6747224,-0.3177787,0.0,-0.3290061,2.1033652,-0.6205828,-0.80489016,1.5656414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",5.4764308869639144,"[52, 69, 98, 19, 23, 68]","['v-> ', 'vnot +> ', 'not <', 'v+> ', 'nop', 'nop', '<', 'nop', '=', 'nop', '<', '<', 'nop', 'vnot *= ', 'v-> ', '>', 'v-> ', 'v+> ', 'v-> ', '<', 'nop', 'not =', 'nop', 'vnot +> ', 'not >', 'vnot -> ', 'nop', 'vnot *= ', '<', 'vnot *= ']","['and', 'or', 'and', 'or', 'and', 'and', 'and', 'and', 'and', 'or', 'and', 'and', 'and', 'or', 'and', 'and', 'and', 'and', 'or', 'or', 'or', 'or', 'or', 'or', 'and', 'and', 'and', 'and', 'or', 'and']",a.x ->  e.x + 30873 and a.y not +>  e.y + 53229 AND b.y < a.y AND c.vx = f.vx * 12521 or c.vy ->  e.vy + 15614 AND d.x > c.x and d.y ->  a.y + 75013 or d.vy < f.vy AND e.y not = d.y or e.vy not > b.vy
4,"0.37194225,0.0,0.0,0.0,0.0,0.0,0.25524566,1.3027965,1.9016601,-0.57485276,-0.42135644,0.6084775,-0.88805664,0.16328637,-0.42530423,-1.4916052,0.51850706,-1.1447839,0.39898214,0.20858277,0.20858277,0.72894824,-0.9497568,1.3027965,1.3646951,0.67821145,0.23147236,0.20271733,1.5696951,0.26178116,-0.41344798,1.1058197,-0.44251573,-0.425751,1.6747224,-0.3177787,-0.88805664,-0.3290061,2.1033652,-0.6205828,-0.80489016,1.5656414,0.0,-2.0169928,-1.0473353,-0.36973283,0.12741368,0.5912353,0.0,0.0,0.0,0.0,0.0,0.0,0.0",5.7062762395706015,"[52, 69, 98, 19, 23, 68, 98]","['v-> ', 'vnot +> ', 'not <', 'v+> ', 'nop', 'nop', '<', 'nop', '=', 'nop', '<', '<', 'nop', 'vnot *= ', 'v-> ', '>', 'v-> ', 'v+> ', 'v-> ', '<', 'nop', 'not =', 'nop', 'vnot +> ', 'not >', 'vnot -> ', 'nop', 'vnot *= ', '<', 'vnot *= ', 'v*= ', 'not >', 'nop', 'v*= ', 'v-> ']","['and', 'or', 'and', 'or', 'and', 'and', 'and', 'and', 'and', 'or', 'and', 'and', 'and', 'or', 'and', 'and', 'and', 'and', 'or', 'or', 'or', 'or', 'or', 'or', 'and', 'and', 'and', 'and', 'or', 'and', 'or', 'or', 'or', 'or', 'or']",a.x ->  e.x + 30873 and a.y not +>  e.y + 53229 or a.z not < g.z AND b.y < a.y AND c.x < g.x and c.y < g.y and c.vx = f.vx * 12521 or c.vy ->  e.vy + 15614 AND d.x > c.x and d.y ->  a.y + 75013 or d.vy < f.vy AND e.y not = d.y or e.vx not +>  g.vx + 12233 or e.vy not > b.vy AND f.z = c.z * 6594 and f.vx < b.vx
5,"0.37194225,0.0,0.0,0.0,0.0,0.0,0.25524566,1.3027965,1.9016601,-0.57485276,-0.42135644,0.6084775,-0.88805664,0.16328637,-0.42530423,-1.4916052,0.51850706,-1.1447839,0.39898214,0.20858277,0.20858277,0.72894824,-0.9497568,1.3027965,1.3646951,0.67821145,0.23147236,0.20271733,1.5696951,0.26178116,-0.41344798,1.1058197,-0.44251573,-0.425751,1.6747224,-0.3177787,-0.88805664,-0.3290061,2.1033652,-0.6205828,-0.80489016,1.5656414,-2.3391485,-2.0169928,-1.0473353,-0.36973283,0.12741368,0.5912353,0.0,0.8306404,0.46613532,0.5912353,0.08196849,-0.3177787,0.0",6.140059520646225,"[52, 69, 98, 19, 23, 68, 98, 10]","['v-> ', 'vnot +> ', 'not <', 'v+> ', 'nop', 'nop', '<', 'nop', '=', 'nop', '<', '<', 'nop', 'vnot *= ', 'v-> ', '>', 'v-> ', 'v+> ', 'v-> ', '<', 'nop', 'not =', 'nop', 'vnot +> ', 'not >', 'vnot -> ', 'nop', 'vnot *= ', '<', 'vnot *= ', 'v*= ', 'not >', 'nop', 'v*= ', 'v-> ', '>', 'nop', 'v-> ', 'vnot +> ', 'nop']","['and', 'or', 'and', 'or', 'and', 'and', 'and', 'and', 'and', 'or', 'and', 'and', 'and', 'or', 'and', 'and', 'and', 'and', 'or', 'or', 'or', 'or', 'or', 'or', 'and', 'and', 'and', 'and', 'or', 'and', 'or', 'or', 'or', 'or', 'or', 'or', 'or', 'or', 'or', 'and']",a.x ->  e.x + 30873 and a.y not +>  e.y + 53229 or a.z not < g.z and a.vx +>  h.vx + 9735 AND b.y < a.y and b.vx = h.vx AND c.x < g.x and c.y < g.y and c.vx = f.vx * 12521 or c.vy ->  e.vy + 15614 AND d.x > c.x and d.y ->  a.y + 75013 and d.vx ->  h.vx + 12325 or d.vy < f.vy AND e.y not = d.y or e.vx not +>  g.vx + 12233 or e.vy not > b.vy AND f.x not ->  h.x + 21681 and f.z = c.z * 6594 and f.vx < b.vx or f.vy = h.vy * 13651 AND g.x not = d.x + 79593 or g.y not > c.y or g.vx not = h.vx + 7446 or g.vy ->  f.vy + 9055
6,"-2.3391485,0.0,0.0,0.0,0.0,0.0,-1.5447567,-0.80704266,-1.610698,-1.610698,-2.8288364,1.0255796,0.0,-0.15272239,0.98656845,-2.763046,-1.8567753,-0.44251573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",3.2576925120901317,"[10, 13]","['nop', 'nop', 'vnot +> ', 'nop', 'vnot +> ', '>', 'not <', '=', 'nop', 'not =']","['or', 'or', 'or', 'and', 'and', 'or', 'and', 'and', 'and', 'or']",
7,"-2.3391485,0.0,0.0,0.0,0.0,0.0,-1.5447567,-0.80704266,-1.610698,-1.610698,-2.8288364,1.0255796,-0.1984051,-0.15272239,0.98656845,-2.763046,-1.8567753,-0.44251573,0.0,-1.0473353,-0.40365463,0.8414978,-2.3177514,1.1733134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",4.460859860764203,"[10, 13, 16]","['nop', 'nop', 'vnot +> ', 'nop', 'vnot +> ', '>', 'not <', '=', 'nop', 'not =', 'not >', 'nop', 'v+> ', 'nop', 'not >']","['or', 'or', 'or', 'and', 'and', 'or', 'and', 'and', 'and', 'or', 'or', 'or', 'and', 'and', 'or']",b.y not < a.y and b.z = a.z
8,"-2.3391485,0.0,0.0,0.0,0.0,0.0,-1.5447567,-0.80704266,-1.610698,-1.610698,-2.8288364,1.0255796,-0.1984051,-0.15272239,0.98656845,-2.763046,-1.8567753,-0.44251573,-2.3391485,-1.0473353,-0.40365463,0.8414978,-2.3177514,1.1733134,0.0,0.51850706,0.28357446,0.28357446,1.8390425,0.7593136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",3.023861401923793,"[10, 13, 16, 10]","['nop', 'nop', 'vnot +> ', 'nop', 'vnot +> ', '>', 'not <', '=', 'nop', 'not =', 'not >', 'nop', 'v+> ', 'nop', 'not >', '=', 'not >', 'not >', 'vnot -> ', 'v*= ']","['or', 'or', 'or', 'and', 'and', 'or', 'and', 'and', 'and', 'or', 'or', 'or', 'and', 'and', 'or', 'and', 'and', 'and', 'or', 'and']",b.y not < a.y and b.z = a.z and b.vy not = d.vy AND c.vy not > a.vy
9,"-2.3391485,0.0,0.0,0.0,0.0,0.0,-1.5447567,-0.80704266,-1.610698,-1.610698,-2.8288364,1.0255796,-0.1984051,-0.15272239,0.98656845,-2.763046,-1.8567753,-0.44251573,-2.3391485,-1.0473353,-0.40365463,0.8414978,-2.3177514,1.1733134,0.25524566,0.51850706,0.28357446,0.28357446,1.8390425,0.7593136,0.0,1.1509749,0.060902335,1.8390425,0.12741368,0.98418474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",4.224903013232716,"[10, 13, 16, 10, 69]","['nop', 'nop', 'vnot +> ', 'nop', 'vnot +> ', '>', 'not <', '=', 'nop', 'not =', 'not >', 'nop', 'v+> ', 'nop', 'not >', '=', 'not >', 'not >', 'vnot -> ', 'v*= ', 'vnot *= ', 'v-> ', 'vnot -> ', 'v*= ', 'vnot +> ']","['or', 'or', 'or', 'and', 'and', 'or', 'and', 'and', 'and', 'or', 'or', 'or', 'and', 'and', 'or', 'and', 'and', 'and', 'or', 'and', 'and', 'or', 'or', 'or', 'and']",a.vy not +>  e.vy + 2348 AND b.y not < a.y and b.z = a.z and b.vy not = d.vy AND c.vy not > a.vy AND d.vx not ->  e.vx + 3214 or d.vy not = a.vy + 8000
