Unnamed: 0,pattern,rating,events,actions,conds,pattern_str
0,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",1,['player'],"['=', 'vnot<', 'vnot>', '>']","['and', 'or', 'and', 'or']",a.y not< value or a.vx not> value
1,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",6,"['player', 'explosion4']","['=', 'vnot<', 'vnot>', '>', 'vnot=', 'vnot<', 'not=', 'v>']","['and', 'or', 'and', 'or', 'and', 'or', 'and', 'and']",a.y not< value or a.vx not> value AND b.x not= 7 and b.y not< value or b.vy > 3
2,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",16,"['player', 'explosion4', 'bullet1']","['=', 'vnot<', 'vnot>', '>', 'vnot=', 'vnot<', 'not=', 'v>', 'vnot=', 'not>', 'v>', 'vnot<']","['and', 'or', 'and', 'or', 'and', 'or', 'and', 'and', 'or', 'or', 'and', 'and']",a.y not< value or a.vx not> value AND b.x not= 7 and b.y not< value or b.vx not= a.vx and b.vy > 3 AND c.x not= value or c.vx > 2 and c.vy not< value
3,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",26,"['player', 'explosion4', 'bullet1', 'finish']","['=', 'vnot<', 'vnot>', '>', 'vnot=', 'vnot<', 'not=', 'v>', 'vnot=', 'not>', 'v>', 'vnot<', '<', 'v>', 'not>', 'vnot>']","['and', 'or', 'and', 'or', 'and', 'or', 'and', 'and', 'or', 'or', 'and', 'and', 'and', 'or', 'or', 'and']",a.x = d.x and a.y not< value or a.vx not> value AND b.x not= 7 and b.y not< value or b.vx not= a.vx and b.vy > 3 AND c.x not= value or c.vx > 2 and c.vy not< value AND d.y > value or d.vy not> value
4,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",2,['player'],"['=', 'v<', 'v=', 'v=']","['and', 'and', 'or', 'or']",a.y < value and a.vx = value or a.vy = value
5,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",9,"['player', 'flyer1']","['=', 'v<', 'v=', 'v=', 'v=', 'vnot=', '>', 'not=']","['and', 'and', 'or', 'or', 'and', 'and', 'and', 'and']",a.y < value and a.vx = value or a.vy = value AND b.x = 7 and b.y not= value
6,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",14,"['player', 'flyer1', 'flyer1']","['=', 'v<', 'v=', 'v=', 'v=', 'vnot=', '>', 'not=', '<', '=', 'not=', 'not<']","['and', 'and', 'or', 'or', 'and', 'and', 'and', 'and', 'and', 'and', 'or', 'or']",a.y < value and a.vx = value or a.vy = value AND b.x = 7 and b.y not= value
7,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",47,"['player', 'flyer1', 'flyer1', 'finish']","['=', 'v<', 'v=', 'v=', 'v=', 'vnot=', '>', 'not=', '<', '=', 'not=', 'not<', '<', '<', 'not=', '=']","['and', 'and', 'or', 'or', 'and', 'and', 'and', 'and', 'and', 'and', 'or', 'or', 'and', 'and', 'and', 'or']",a.x = d.x and a.y < value and a.vx = value or a.vy = value AND b.x = 7 and b.y not= value AND c.x < b.x
8,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",3,['player'],"['not<', 'v=', 'vnot<', '>']","['or', 'and', 'and', 'or']",a.y = value and a.vx not< value
9,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",10,"['player', 'bullet5', 'bullet2', 'bullet4']","['not<', 'v=', 'vnot<', '>', 'not<', 'not=', 'not>', '>', 'vnot<', 'vnot>', '>', '=', 'not>', 'not>', 'not<', 'not=']","['or', 'and', 'and', 'or', 'and', 'or', 'and', 'and', 'and', 'and', 'or', 'and', 'and', 'or', 'or', 'and']",a.y = value and a.vx not< value AND c.x not< 1 and c.y not> 3
