pattern,rating,events,pattern_str
"2.4530919,0.0,0.0,0.0,0.0,0.0,0.0,0.670316,1.0466249,-0.09954927,1.179451,-1.4038866,1.4504056,-0.25866097,0.0,0.6876986,-1.7178416,0.5830019,-0.6918339,1.729262,-0.08598071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",3.415,"[88, 19]",a.x <  45548 and a.y <  12399 and a.z <  5643 and a.vx <  273 and a.vy <  18347 and a.vz <  13772 and 
"2.4530919,0.0,0.0,0.0,0.0,0.0,0.0,0.670316,1.0466249,-0.09954927,1.179451,-1.4038866,1.4504056,-0.25866097,1.0655994,0.6876986,-1.7178416,0.5830019,-0.6918339,1.729262,-0.08598071,-1.178099,-0.5911527,2.645703,-2.0706594,-0.94517195,0.6157803,0.5830019,0.5847176,0.6157803,-0.274198,-0.7013677,-0.44373274,-2.7854896,0.44557923,-0.30980763,0.6157803,0.46278405,-1.031584,1.8878331,-1.2230517,-1.7178416,-0.9943922,0.005565719,1.9376591,1.8942884,1.4051558,0.6083844,-0.05734399,0.0,0.026847934,0.026847934,1.0466249,-0.94517195,-2.4463813,1.4504056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",6.3549437499999994,"[88, 19, 63, 68, 73, 8, 14]",a.x <  45548 and a.y <  12399 and a.z <  5643 and a.vx <  273 and a.vy <  18347 and a.vz <  13772 and b.x = a.x and b.y = a.y and b.z = a.z and b.vx = a.vx and b.vy = a.vy and  and c.x =  36614 and c.y =  53964 and c.z =  12555 and c.vy =  6191 and c.vz =  2288 and d.x > e.x and d.z > e.z and d.vx > e.vx and d.vz > e.vz and f.x not = b.x and f.y not = b.y and f.z not = b.z and f.vx not = b.vx and f.vy not = b.vy and f.vz not = b.vz and 
"1.0177481,0.0,0.0,0.0,0.0,0.0,0.0,0.37036026,0.005565719,1.3164357,0.2872325,1.179451,-0.6925715,-0.7136242,0.39404127,2.1125922,1.2807684,2.179264,0.46278405,-0.03968005,0.45668197,-1.3817958,-0.124371804,-0.73816943,-2.0706594,0.5830019,-0.2442859,-1.3209256,-0.84629077,-0.7529721,-1.5368764,-0.11276989,0.44557923,0.1466999,1.2001706,-0.37491867,1.6699722,-0.663891,1.5827352,0.9138996,0.76936793,-0.49161163,0.0,-0.9100887,-1.4038866,0.5766828,0.61518407,2.1125922,0.48705682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",3.9392875,"[61, 65, 47, 4, 52, 106]",a.y = e.y and a.z = e.z and a.vx = e.vx and a.vy = e.vy and a.vz = e.vz and b.y > c.y and b.vx > c.vx and b.vy > c.vy and b.vz > c.vz and d.y not < c.y and d.z not < c.z and d.vx not < c.vx and d.vy not < c.vy and d.vz not < c.vz and e.x not < b.x and e.z not < b.z and e.vx not < b.vx and e.vz not < b.vz and 
"-0.9943922,0.0,0.0,0.0,0.0,0.0,0.0,2.4530919,-0.6573556,2.179264,0.8077801,-1.1352605,0.48705682,0.90814424,-0.30980763,-0.2287743,0.04709822,0.0010262275,-1.3209256,0.7016011,-2.4463813,-0.23630635,-0.4081434,0.20012566,0.005446672,1.3081214,0.667878,-2.4463813,0.0,2.1559265,-0.9100887,-0.61034095,-0.8931989,0.76936793,0.48705682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",4.99525,"[14, 88, 8, 54]",b.x <  8020 and b.y <  99825 and b.z <  14021 and b.vx <  10369 and b.vy <  8743 and b.vz <  114 and c.x not = b.x and c.y not = b.y and c.z not = b.z and c.vx not = b.vx and c.vz not = b.vz and 
"-0.9943922,0.0,0.0,0.0,0.0,0.0,0.0,2.4530919,-0.6573556,2.179264,0.8077801,-1.1352605,0.48705682,0.90814424,-0.30980763,-0.2287743,0.04709822,0.0010262275,-1.3209256,0.7016011,-2.4463813,-0.23630635,-0.4081434,0.20012566,0.005446672,1.3081214,0.667878,-2.4463813,-0.8006017,2.1559265,-0.9100887,-0.61034095,-0.8931989,0.76936793,0.48705682,1.6112744,0.1530372,1.8878331,0.17594187,0.1466999,-0.49161163,1.0865178,0.0,0.8260993,-0.48135146,1.308013,0.82899135,-0.11276989,0.48705682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",3.9879775,"[14, 88, 8, 54, 23, 10]",b.x <  8020 and b.y <  99825 and b.z <  14021 and b.vx <  10369 and b.vy <  8743 and b.vz <  114 and c.x not = b.x and c.y not = b.y and c.z not = b.z and c.vx not = b.vx and c.vz not = b.vz and 
"-0.9943922,0.0,0.0,0.0,0.0,0.0,0.0,2.4530919,-0.6573556,2.179264,0.8077801,-1.1352605,0.48705682,0.90814424,-0.30980763,-0.2287743,0.04709822,0.0010262275,-1.3209256,0.7016011,-2.4463813,-0.23630635,-0.4081434,0.20012566,0.005446672,1.3081214,0.667878,-2.4463813,-0.8006017,2.1559265,-0.9100887,-0.61034095,-0.8931989,0.76936793,0.48705682,1.6112744,0.1530372,1.8878331,0.17594187,0.1466999,-0.49161163,1.0865178,0.055357434,0.8260993,-0.48135146,1.308013,0.82899135,-0.11276989,0.48705682,0.0,1.8878331,-1.4038866,-0.8931989,0.012467928,-0.2287743,1.2679509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",4.00217275,"[14, 88, 8, 54, 23, 10, 16]",b.x <  8020 and b.y <  99825 and b.z <  14021 and b.vx <  10369 and b.vy <  8743 and b.vz <  114 and c.x not = b.x and c.y not = b.y and c.z not = b.z and c.vx not = b.vx and c.vz not = b.vz and d.x = g.x and d.y = g.y and d.vx = g.vx and d.vy = g.vy and d.vz = g.vz and f.x not > c.x and f.y not > c.y and f.z not > c.z and f.vx not > c.vx and f.vy not > c.vy and f.vz not > c.vz and 
"2.0847588,0.0,0.0,0.0,0.0,0.0,0.0,-0.57599825,-0.05734399,-0.21310684,0.667878,-1.1649508,-0.44373274,1.2679509,0.0,-1.7072062,1.5827352,0.0010262275,1.770605,-0.5906557,0.17594187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",3.775,"[98, 62]",
"2.0847588,0.0,0.0,0.0,0.0,0.0,0.0,-0.57599825,-0.05734399,-0.21310684,0.667878,-1.1649508,-0.44373274,1.2679509,0.670316,-1.7072062,1.5827352,0.0010262275,1.770605,-0.5906557,0.17594187,0.0,0.46278405,-2.4463813,-0.124371804,1.2001706,0.97713107,-0.80473703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",3.9775,"[98, 62, 19]",
"2.0847588,0.0,0.0,0.0,0.0,0.0,0.0,-0.57599825,-0.05734399,-0.21310684,0.667878,-1.1649508,-0.44373274,1.2679509,0.670316,-1.7072062,1.5827352,0.0010262275,1.770605,-0.5906557,0.17594187,0.5847176,0.46278405,-2.4463813,-0.124371804,1.2001706,0.97713107,-0.80473703,-1.9298718,-0.30600733,-2.7854896,1.308013,-0.6918339,0.44557923,2.645703,0.0,-0.8908002,-0.4081434,0.44557923,0.6157803,0.1466999,-0.7136242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",3.9937750000000003,"[98, 62, 19, 73, 66]",c.x = a.x and c.y = a.y and c.z = a.z and c.vx = a.vx and c.vy = a.vy and c.vz = a.vz and 
"2.0847588,0.0,0.0,0.0,0.0,0.0,0.0,-0.57599825,-0.05734399,-0.21310684,0.667878,-1.1649508,-0.44373274,1.2679509,0.670316,-1.7072062,1.5827352,0.0010262275,1.770605,-0.5906557,0.17594187,0.5847176,0.46278405,-2.4463813,-0.124371804,1.2001706,0.97713107,-0.80473703,-1.9298718,-0.30600733,-2.7854896,1.308013,-0.6918339,0.44557923,2.645703,-0.30980763,-0.8908002,-0.4081434,0.44557923,0.6157803,0.1466999,-0.7136242,0.0,0.97713107,-1.1649508,-0.6918339,-0.17092167,-0.17092167,-0.80473703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",4.0172275,"[98, 62, 19, 73, 66, 8]",c.x = a.x and c.y = a.y and c.z = a.z and c.vx = a.vx and c.vy = a.vy and c.vz = a.vz and e.y < b.y and e.z < b.z and e.vx < b.vx and e.vy < b.vy and e.vz < b.vz and 
